BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,AdditionalContactInfo,Demographics,rowguid,ModifiedDate
1,EM,0,,Ken,J,Sánchez,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",92C4279F-1207-48A3-8448-4636514EB7E2,00:00.0
2,EM,0,,Terri,Lee,Duffy,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",D8763459-8AA8-47CC-AFF7-C9079AF79033,00:00.0
3,EM,0,,Roberto,,Tamburello,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",E1A2555E-0828-434B-A33B-6F38136A37DE,00:00.0
4,EM,0,,Rob,,Walters,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",F2D7CE06-38B3-4357-805B-F4B6B71C01FF,00:00.0
5,EM,0,Ms.,Gail,A,Erickson,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",F3A3F6B4-AE3B-430C-A754-9F2231BA6FEF,00:00.0
6,EM,0,Mr.,Jossef,H,Goldberg,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",0DEA28FD-EFFE-482A-AFD3-B7E8F199D56F,00:00.0
7,EM,0,,Dylan,A,Miller,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",C45E8AB8-01BE-4B76-B215-820C8368181A,00:00.0
8,EM,0,,Diane,L,Margheim,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",A948E590-4A56-45A9-BC9A-160A1CC9D990,00:00.0
9,EM,0,,Gigi,N,Matthew,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",5FC28C0E-6D36-4252-9846-05CAA0B1F6C5,00:00.0
10,EM,0,,Michael,,Raheem,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",CA2C740E-75B2-420C-9D4B-E3CBC6609604,00:00.0
11,EM,0,,Ovidiu,V,Cracium,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",D2CC2577-EF6B-4408-BD8C-747337FE5645,00:00.0
12,EM,0,,Thierry,B,D'Hers,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",FA263C7F-600D-4E89-8DCD-0978F3530F5F,00:00.0
13,EM,0,Ms.,Janice,M,Galvin,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",34EB99E0-7042-4DC1-A2FD-BDA290FF0E07,00:00.0
14,EM,0,,Michael,I,Sullivan,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9A7501DE-5CAF-4700-AB07-CC81102BB696,00:00.0
15,EM,0,,Sharon,B,Salavaria,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",BEBA63CB-13F1-4B76-A3DE-FE9AC283A94C,00:00.0
16,EM,0,,David,M,Bradley,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",2CC8BA72-5DBB-497F-B941-775517993638,00:00.0
17,EM,0,,Kevin,F,Brown,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9EE4713E-B3D8-4409-BC5E-DEC62497F43A,00:00.0
18,EM,0,,John,L,Wood,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",FE21BDA7-9327-4D13-89CC-8CA5CEE8F21E,00:00.0
19,EM,0,,Mary,A,Dempsey,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",36F04305-6769-4E61-9143-048B2B7AFA20,00:00.0
20,EM,0,,Wanida,M,Benshoof,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",1E7E56F4-A583-4E3F-A3FE-BA8A71096D10,00:00.0
21,EM,0,,Terry,J,Eminhizer,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",6A288FE0-D9CB-4DA2-BEEA-51370220490C,00:00.0
22,EM,0,,Sariya,E,Harnpadoungsataya,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",276E0EB5-0CE7-443F-987F-B7EF293C0930,00:00.0
23,EM,0,,Mary,E,Gibson,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",B10CF8EB-5589-4A81-B1BD-051C5759CE06,00:00.0
24,EM,0,Ms.,Jill,A,Williams,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",3F605060-96AD-4201-9BE2-BFE7A3C4E468,00:00.0
25,EM,0,,James,R,Hamilton,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",423FE59B-7975-4A7E-B8D2-87105C286D4C,00:00.0
26,EM,0,,Peter,J,Krebs,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",6F32F507-290E-4A96-A045-F445EAE4337F,00:00.0
27,EM,0,,Jo,A,Brown,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",EDD8ADD6-F7FD-4086-BFDC-B4FD3E6AD8D7,00:00.0
28,EM,0,,Guy,R,Gilbert,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",D366A33A-8EDE-42BD-BF79-3E7FB9713FE1,00:00.0
29,EM,0,,Mark,K,McArthur,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",667FA3BA-B877-4BCC-A752-E461040E2DDD,00:00.0
